EntryPrice,ContractName,Type,ExitPrice,ExitedAt,FullContractName,TotalSize,NetPnL,EnteredAt,CustomTradeDay,TotalFees,id,TotalPnL
18987.0,MNQM4,Short,19013.0,2024-06-10T10:20:11-04:00,Micro E-mini NASDAQ,1.0,-52.74,2024-06-10T09:47:01-04:00,2024-06-10,0.74,a11f6196-9dac-4a18-bcb2-7cfa8dd9e500,-52.0
76.7,MCLN4,Long,77.13,2024-06-02T21:33:39-04:00,Micro Crude Oil,5.0,207.8,2024-06-02T19:43:21-04:00,2024-06-03,5.2,1dd1f5f2-a018-4352-952f-805319402606,213.0
2360.7,GCM4,Short,2357.4,2024-05-28T12:52:46-04:00,Gold,1.0,326.76,2024-05-28T12:01:31-04:00,2024-05-28,3.24,b9670067-6b40-406f-8be8-dd6c13fe50e1,330.0
2369.9,GCQ4,Short,2365.0,2024-05-30T11:25:54-04:00,Gold,1.0,486.76,2024-05-30T10:32:09-04:00,2024-05-30,3.24,e1f40471-2b08-4a25-b7f8-7834d50c6795,490.0
2352.9,GCM4,Short,2353.0,2024-05-28T08:18:20-04:00,Gold,1.0,-13.24,2024-05-27T20:58:51-04:00,2024-05-28,3.24,09565379-1012-4eec-8beb-156c75909d1d,-10.0
19067.75,MNQM4,Short,19072.25,2024-06-06T12:12:11-04:00,Micro E-mini NASDAQ,2.0,-19.48,2024-06-06T12:11:00-04:00,2024-06-06,1.48,0d50b4cf-a937-496b-9a15-5cfaee923e71,-18.0
2314.2,MGCQ4,Long,2315.5,2024-06-09T19:46:53-04:00,Micro Gold,3.0,35.88,2024-06-09T18:56:55-04:00,2024-06-10,3.12,f5b8391a-1031-4f3d-9705-0aee9cbbc425,39.0
2390.8,GCQ4,Long,2393.0,2024-06-06T22:42:53-04:00,Gold,1.0,216.76,2024-06-06T21:53:20-04:00,2024-06-07,3.24,f9164b3a-e994-475f-b227-f811ecc1acf9,220.0
2328.1,GCM4,Short,2329.2,2024-05-23T22:35:58-04:00,Gold,1.0,-113.24,2024-05-23T21:07:37-04:00,2024-05-24,3.24,35fd5e5d-5942-45b4-a973-f719839911f2,-110.0
5361.75,ESM4,Long,5368.0,2024-06-10T13:51:13-04:00,E-mini S&P,1.0,309.7,2024-06-10T13:02:24-04:00,2024-06-10,2.8,6f6b75fd-7cbc-49ca-b532-bdabc0122271,312.5
19066.25,MNQM4,Short,19072.0,2024-06-06T12:04:32-04:00,Micro E-mini NASDAQ,2.0,-24.48,2024-06-06T11:55:28-04:00,2024-06-06,1.48,d3548b13-1559-49f7-a157-750411cdaca7,-23.0
5287.0,MESM4,Long,5293.08,2024-06-04T10:04:40-04:00,MESM4,3.0,89.03,2024-06-04T09:47:51-04:00,2024-06-04,2.22,a22885b1-df10-4350-a860-e03f73bde16c,91.25
2371.5,GCQ4,Short,2368.5,2024-05-31T09:58:23-04:00,Gold,1.0,296.76,2024-05-31T09:52:53-04:00,2024-05-31,3.24,a79f1442-e1e7-484f-81a0-f42c3dffb5eb,300.0
19071.25,MNQM4,Long,19066.25,2024-06-06T11:55:28-04:00,Micro E-mini NASDAQ,2.0,-21.48,2024-06-06T11:51:29-04:00,2024-06-06,1.48,3dc45ff1-cd47-4e1d-97cf-8d89d884cb68,-20.0
5340.0,MESM4,Long,5353.75,2024-06-11T11:08:16-04:00,MESM4,3.0,204.03,2024-06-11T09:53:34-04:00,2024-06-11,2.22,9c833d0b-ccc5-4e5d-85dc-9c7da8e5abba,206.25
2360.6,GCM4,Short,2360.6,2024-05-28T11:37:26-04:00,Gold,1.0,-3.24,2024-05-28T09:34:10-04:00,2024-05-28,3.24,094896a4-581b-491e-97bb-78e635323aff,0.0
2341.1,GCM4,Short,2341.4,2024-05-24T11:05:52-04:00,Gold,1.0,-33.24,2024-05-24T07:36:00-04:00,2024-05-24,3.24,16ee17cf-3b75-41b9-9c12-4e92c833d941,-30.0
2379.0,MGCQ4,Short,2381.4,2024-06-06T10:02:17-04:00,Micro Gold,3.0,-75.12,2024-06-06T09:53:28-04:00,2024-06-06,3.12,6e74ae37-60f7-4c7f-94d2-dc7fc6adaca5,-72.0
2321.9,GCQ4,Short,2322.7,2024-06-10T11:23:31-04:00,Gold,3.0,-249.72,2024-06-10T11:23:21-04:00,2024-06-10,9.72,c052b788-2379-47d3-8c1d-d17e50a69997,-240.0
5362.25,ESM4,Long,5358.75,2024-06-06T13:48:50-04:00,E-mini S&P,1.0,-177.8,2024-06-06T13:36:44-04:00,2024-06-06,2.8,79e063ff-015c-4b27-aa7f-a515935e4e94,-175.0
19066.0,MNQM4,Short,19071.25,2024-06-06T11:51:29-04:00,Micro E-mini NASDAQ,2.0,-22.48,2024-06-06T11:39:17-04:00,2024-06-06,1.48,f6042fc9-3b6a-4bf4-9f48-03a3003580e1,-21.0
